opponent,pct
Switzerland,24.102
Austria,23.861
Croatia,23.621
Belgium,14.392
Ivory Coast,14.374
Algeria,14.37
Netherlands,14.357
South Africa,14.356
France,14.349
England,14.315
Portugal,14.306
Tunisia,14.303
Senegal,14.269
Scotland,14.25
Egypt,14.181
Norway,14.164
Morocco,14.145
Spain,14.14
Germany,14.139
