opponent,pct
Scotland,18.182
Norway,17.921
Paraguay,16.988
Saudi Arabia,15.669
Qatar,15.638
Uzbekistan,15.6
Germany,11.826
England,11.778
Portugal,11.753
Spain,11.748
France,11.739
Netherlands,11.642
Belgium,11.564
Austria,10.878
Switzerland,10.858
Ecuador,10.685
Uruguay,10.598
Croatia,10.594
Colombia,10.405
South Korea,9.15
Brazil,9.008
Japan,8.983
Australia,8.942
Argentina,8.94
Iran,8.905
