city,baseline,both_features,playoff_seeding
atlanta,13.85,6.71,13.43
boston,15.84,7.80,15.16
dallas,16.23,8.00,15.34
guadalajara,16.91,24.73,18.41
houston,18.07,8.66,17.14
kansas-city,14.61,6.91,13.42
los-angeles,5.95,3.19,5.39
mexico-city,3.79,2.02,3.67
miami,13.85,6.71,13.43
monterrey,15.02,23.77,16.61
new-york,18.21,8.71,17.07
philadelphia,18.45,8.69,17.12
san-francisco,24.77,46.77,26.72
seattle,24.44,46.86,26.39
toronto,14.28,6.81,13.26
vancouver,24.44,46.86,26.39
